Topic,Count,Name,Representation,Representative_Docs,sent_score
-1,2329,-1_ela_vc_tá_esse,"['ela', 'vc', 'tá', 'esse', 'mesmo', 'só', 'alguém', 'via', 'muito', 'será']","['RT : Criaturas que não suporto nem ouvir a voz: Molusco nine cachaceiro Amanda Klein Marco Antônio villa E vocês? Tem alguém…', 'Criaturas que não suporto nem ouvir a voz: Molusco nine cachaceiro Amanda Klein Marco Antônio villa E vocês? Tem alguém que te deixa🤢🤢🤮🤮?', 'Acho que esta senhora Amanda Klein precisa mesmo é de um homem ela só fala do Bolsonaro será que é ele ?']",
0,492,0_colher_plantou_aquilo_vendo,"['colher', 'plantou', 'aquilo', 'vendo', 'tudo', 'bom', 'quem', 'dia', 'está', 'pra']","['RT : Bom dia pra quem está vendo Amanda Klein colher tudo aquilo que plantou.', 'RT : Bom dia pra quem está vendo Amanda Klein colher tudo aquilo que plantou.', 'RT : Bom dia pra quem está vendo Amanda Klein colher tudo aquilo que plantou.']",0.694968396691772
1,401,1_insuportável_roeu_cachorro_sapato,"['insuportável', 'roeu', 'cachorro', 'sapato', 'tomar', 'estava', 'dono', 'isso', 'nojenta', 'vc']","['RT : Amanda Klein hoje no Jornal da Manhã (Jovem Pan), estava com cara de cachorro que roeu o sapato do dono !!!😂😂😂', 'RT : Amanda Klein hoje no Jornal da Manhã (Jovem Pan), estava com cara de cachorro que roeu o sapato do dono !!!😂😂😂', 'RT : Amanda Klein hoje no Jornal da Manhã (Jovem Pan), estava com cara de cachorro que roeu o sapato do dono !!!😂😂😂']",0.7224248984359446
2,278,2_responde_bolsonaro_react_rt,"['responde', 'bolsonaro', 'react', 'rt', 'klein', 'esquerdanuncamais', 'cnn360', 'amanda', 'cnnbrasil', 'ptnuncamais']","['RT : Bolsonaro responde a Amanda Klein', 'RT : Bolsonaro responde a Amanda Klein', 'RT : Bolsonaro responde a Amanda Klein']",0.8704476532318609
3,213,3_tóxico_fácil_trabalhar_lixo,"['tóxico', 'fácil', 'trabalhar', 'lixo', 'parabéns', 'deve', 'ser', 'com', 'não', 'rt']","['RT : Parabéns Amanda Klein, não deve ser fácil trabalhar com lixo tóxico!', 'RT : Parabéns Amanda Klein, não deve ser fácil trabalhar com lixo tóxico!', 'RT : Parabéns Amanda Klein, não deve ser fácil trabalhar com lixo tóxico!']",0.539982837550517
4,193,4_emissora_outros_direita_leonardo,"['emissora', 'outros', 'direita', 'leonardo', 'ponto', 'emissoras', 'fazem', 'eles', 'nenhum', 'militantes']","['A audiência da jovem Pan é de 100% de direita, não faz nenhum sentindo ter no seu quadro pessoas como Amanda Klein, Guga Noblat é outros de esquerda, fica impossível continuar assistindo, quando essa turma abra a boca eu simplesmente vou escutar uma música até acabar suas falas!!', 'A audiência da jovem Pan é de 100% de direita, não faz nenhum sentindo ter no seu quadro pessoas como Amanda Klein, Guga Noblat é outros de esquerda, fica impossível continuar assistindo, quando essa turma abra a boca eu simplesmente vou escutar uma música até acabar suas falas!!', 'A audiência da jovem Pan é de 100% de direita, não faz nenhum sentindo ter no seu quadro pessoas como Amanda Klein, Guga Noblat é outros de esquerda, fica impossível continuar assistindo, quando essa turma abra a boca eu simplesmente vou escutar uma música até acabar suas falas!!']",0.7434071263809896
5,153,5_jornalismo_pseudo_militante_jornalista,"['jornalismo', 'pseudo', 'militante', 'jornalista', 'porca', 'traste', 'muito', 'burra', 'feita', 'pr']","['@ Amanda Klein você é jornalista o Motta engenheiro. Mais realmente você não respeita a entrevista. Quer fazer 3 a 4 perguntas ao mesmo tempo, corta o entrevistado indagando o que ele diz. Você está fazendo debate sim, isto não é jornalismo sério.', 'Amanda Klein, uma vergonha para o jornalismo, assim como você!', 'Aquela pseudo jornalista Amanda Klein é ignorante, ativista radical e extremamente mal educada, não deixando que as pessoas coloquem suas posições. Ela é o pior do que há no jornalismo.']",0.7850252995693606
6,139,6_via_levou_leva_calada,"['via', 'levou', 'leva', 'calada', 'professor', 'lata', 'rumo', 'surr4', 'tentar', 'boca']","['DEPOIS DESSA COM CERTEZA AMANDA KLEIN VAI FICAR CALADA LEVOU NA LATA PO... via', 'DEPOIS DESSA COM CERTEZA AMANDA KLEIN VAI FICAR CALADA LEVOU NA LATA PO... via', 'DEPOIS DESSA COM CERTEZA AMANDA KLEIN VAI FICAR CALADA LEVOU NA LATA PO... via']",0.6782159657358265
7,127,7_desviando_assunto_atacando_chiliquento,"['desviando', 'assunto', 'atacando', 'chiliquento', 'sempre', 'como', 'avante', 'briga', 'cha', 'andré']","['RT : BOLSONARO CHILIQUENTO Desviando do assunto como sempre e atacando Amanda Klein', 'RT : BOLSONARO CHILIQUENTO Desviando do assunto como sempre e atacando Amanda Klein', 'RT : BOLSONARO CHILIQUENTO Desviando do assunto como sempre e atacando Amanda Klein']",0.8386167086015536
8,111,8_criminosa_militância_outras_vasconcelos,"['criminosa', 'militância', 'outras', 'vasconcelos', 'renata', 'esquerda', 'miriam', 'leitão', 'da', 'para']","['RT : Para Amanda Klein, Miriam Leitão, Renata Vasconcelos e outras P. da militância da esquerda criminosa.', 'RT : Para Amanda Klein, Miriam Leitão, Renata Vasconcelos e outras P. da militância da esquerda criminosa.', 'RT : Para Amanda Klein, Miriam Leitão, Renata Vasconcelos e outras P. da militância da esquerda criminosa.']",0.6589429378509521
9,104,9_caras_arrotam_bebem_empregador,"['caras', 'arrotam', 'bebem', 'empregador', 'jogam', 'ess', 'próprio', 'ainda', 'schelp', 'diogo']","['RT : Guga Noblat, Diogo Schelp, Amanda Klein... Os caras jogam contra o próprio empregador. Os caras bebem e ainda arrotam ess…', 'RT : Guga Noblat, Diogo Schelp, Amanda Klein... Os caras jogam contra o próprio empregador. Os caras bebem e ainda arrotam ess…', 'RT : Guga Noblat, Diogo Schelp, Amanda Klein... Os caras jogam contra o próprio empregador. Os caras bebem e ainda arrotam ess…']",0.8408668637275696
10,100,10_geraldo_jorna_tralha_carvalho,"['geraldo', 'jorna', 'tralha', 'carvalho', 'azevedo', 'consórcio', 'cadê', 'olavo', 'bananinha', 'jade']","['RT : Cadê a Amanda Klein, Vera Magalhães, Mônica Bergamo, Guga Noblat, Geraldo Azevedo, e essa tralha do Consórcio do Jorna…', 'RT : Cadê a Amanda Klein, Vera Magalhães, Mônica Bergamo, Guga Noblat, Geraldo Azevedo, e essa tralha do Consórcio do Jorna…', 'RT : Cadê a Amanda Klein, Vera Magalhães, Mônica Bergamo, Guga Noblat, Geraldo Azevedo, e essa tralha do Consórcio do Jorna…']",0.6637885382771492
11,97,11_preferiu_clara_covardia_ficou,"['preferiu', 'clara', 'covardia', 'ficou', 'atacar', 'ter', 'orig', 'explicar', 'ele', 'jornalista']","['RT : A covardia do Bolsonaro ficou clara na Jovem Pan. Ele preferiu atacar a jornalista Amanda Klein a ter de explicar a orig…', 'RT : A covardia do Bolsonaro ficou clara na Jovem Pan. Ele preferiu atacar a jornalista Amanda Klein a ter de explicar a orig…', 'RT : A covardia do Bolsonaro ficou clara na Jovem Pan. Ele preferiu atacar a jornalista Amanda Klein a ter de explicar a orig…']",0.8905364594508692
12,94,12_dois_parei_esse_guga,"['dois', 'parei', 'esse', 'guga', 'ambos', 'assistir', 'morningshow', 'insuportável', 'chato', 'falam']","['RT : Essa Amanda Klein é uma Piperno de Saia. Dá nojo assistir os dois. Jovem Pan, troca os dois, por favor!', 'RT : Pergunto. E burrice de Guga Noblat e Amanda Klein ou realmente ambos tem dois neurônios. Pois como amam passar VERGONHA ao V…', 'Pergunto. E burrice de Guga Noblat e Amanda Klein ou realmente ambos tem dois neurônios. Pois como amam passar VERGONHA ao VIVO.']",0.7438918922809844
13,88,13_levianos_lamentáve_lindas_estragadas,"['levianos', 'lamentáve', 'lindas', 'estragadas', 'mostradas', 'negativos', 'imagens', 'pelos', 'comentários', 'sendo']","['RT : Imagens lindas sendo mostradas na Jovem Pan, estragadas pelos comentários negativos e levianos da Amanda Klein. Lamentáve…', 'RT : Imagens lindas sendo mostradas na Jovem Pan, estragadas pelos comentários negativos e levianos da Amanda Klein. Lamentáve…', 'RT : Imagens lindas sendo mostradas na Jovem Pan, estragadas pelos comentários negativos e levianos da Amanda Klein. Lamentáve…']",0.9243705963546579
