Topic,Count,Name,Representation,Representative_Docs,tweets_count
-1,5871,-1_Brazilian political commentary,['Brazilian political commentary'],"['amanda klein esplendor t v vn ff', 'cade amanda klein kennedy alencar', 'cade amanda klein kennedy alencar']",
0,4694,0_Political controversy surrounding Bolsonaro,['Political controversy surrounding Bolsonaro'],"['bolsonaro detona amanda klein vivo amanda sr pode explicar melhor negocios familia bolsonaro amanda', 'bolsonaro detona amanda klein vivo amanda sr pode explicar melhor negocios familia bolsonaro amanda', 'bolsonaro detona amanda klein vivo amanda sr pode explicar melhor negocios familia bolsonaro amanda']",4694.0
1,2950,1_Texto repetitivo e sem sentido,['Texto repetitivo e sem sentido'],"['mito amanda klein passando vergonha vivo core manha nao preco bonita querer superior', 'mito amanda klein passando vergonha vivo core manha nao preco bonita querer superior', 'mito amanda klein passando vergonha vivo core manha nao preco bonita querer superior']",2950.0
2,2329,2_Unintelligible or random text patterns,['Unintelligible or random text patterns'],"['vao restar somente amanda klein pipperno aspone ze dirceu t yls idhku', 'vao restar somente amanda klein pipperno aspone ze dirceu t yls idhku', 'vao restar somente amanda klein pipperno aspone ze dirceu t yls idhku']",2329.0
3,1627,3_Political Militancy and Activism,['Political Militancy and Activism'],"['deonisio ja agradeco anita amanda klein miriam leitao monica bergamo familia noblat verinha casagrande tico sta', 'ja antecipadamente agradeco anita amanda klein miriam leitao monica bergamo familia noblat casagrande t', 'ja antecipadamente agradeco anita amanda klein miriam leitao monica bergamo familia noblat casagrande t']",1627.0
4,1235,4_Political controversy in Brazil,['Political controversy in Brazil'],"['jovem pan deve programa diogo shelp amanda klein guga noblat audiencia revelar', 'jovem pan deve programa diogo shelp amanda klein guga noblat audiencia revelar', 'jovem pan deve programa diogo shelp amanda klein guga noblat audiencia revelar']",1235.0
5,1020,5_Political discourse and media in Brazil,['Political discourse and media in Brazil'],"['atencao amanda klein pergunta oposicao nao debate publico jovem pan presidente nao g', 'atencao amanda klein pergunta oposicao nao debate publico jovem pan presidente nao g', 'atencao amanda klein pergunta oposicao nao debate publico jovem pan presidente nao g']",1020.0
6,976,6_Confusing or incoherent statements in Portuguese text,['Confusing or incoherent statements in Portuguese text'],"['dudasc vozes causam nausea embrulham estomago felipe neto lula fabio piperno randolfe rodrigues amanda k', 'dudasc vozes causam nausea embrulham estomago felipe neto lula fabio piperno randolfe rodrigues amanda k', 'dudasc vozes causam nausea embrulham estomago felipe neto lula fabio piperno randolfe rodrigues amanda k']",976.0
7,951,7_Personal conversations,['Personal conversations'],"['amanda klein minutos vera magalhaes', 'amanda klein minutos vera magalhaes', 'amanda klein minutos vera magalhaes']",951.0
8,840,8_Controversial media interview with Bolsonaro,['Controversial media interview with Bolsonaro'],"['entrevista jovem pan bolsonaro agride jornalista amanda klein abordando vida pessoal jogo baixo atacou jor', 'entrevista jovem pan bolsonaro agride jornalista amanda klein abordando vida pessoal jogo baixo atacou jor', 'entrevista jovem pan bolsonaro agride jornalista amanda klein abordando vida pessoal jogo baixo atacou jor']",840.0
9,492,9_Unknown or nonsensical texts,['Unknown or nonsensical texts'],"['bom amanda klein colher tudo plantou t azjp t', 'bom amanda klein colher tudo plantou t azjp t', 'bom amanda klein colher tudo plantou t azjp t']",492.0
10,398,10_Not provided,['Not provided'],"['noticia nao marido amanda klein parem noticia presidente nao responde casas compradas', 'noticia nao marido amanda klein parem noticia presidente nao responde casas compradas', 'noticia nao marido amanda klein parem noticia presidente nao responde casas compradas']",398.0
11,363,11_Currency and financial topics,['Currency and financial topics'],"['amanda klein moeda corrente nacional dinheiro especie vergonha manter pessoa', 'amanda klein moeda corrente nacional dinheiro especie vergonha manter pessoa', 'amanda klein moeda corrente nacional dinheiro especie vergonha manter pessoa']",363.0
12,349,12_Corruption and financial scandals in Brazilian politics,['Corruption and financial scandals in Brazilian politics'],"['sem resposta origem dinheiro vivo familiares comprar imoveis bolsonaro vitima', 'sem resposta origem dinheiro vivo familiares comprar imoveis bolsonaro vitima', 'sem resposta origem dinheiro vivo familiares comprar imoveis bolsonaro vitima']",349.0
13,337,13_Brazilian sports commentary (Football/Soccer),['Brazilian sports commentary (Football/Soccer)'],"['tarciso show sabatina jovem pan amanda klein ma senhor nao sao paulo tarcisio tecnicos palmeiras', 'tarciso show sabatina jovem pan amanda klein ma senhor nao sao paulo tarcisio tecnicos palmeiras', 'tarciso show sabatina jovem pan amanda klein ma senhor nao sao paulo tarcisio tecnicos palmeiras']",337.0
14,335,14_Political tactics of Jair Bolsonaro,['Political tactics of Jair Bolsonaro'],"['bolsonaro usa velha tatica sempre nao explicar falcatruas ataca desqualifica mulher', 'bolsonaro usa velha tatica sempre nao explicar falcatruas ataca desqualifica mulher', 'bolsonaro usa velha tatica sempre nao explicar falcatruas ataca desqualifica mulher']",335.0
15,325,15_Mensalão scandal in Brazil,['Mensalão scandal in Brazil'],"['amanda klein acaba q mensalao emendas relator sao equiparaveis mensalao iniciativa', 'amanda klein acaba q mensalao emendas relator sao equiparaveis mensalao iniciativa', 'amanda klein acaba q mensalao emendas relator sao equiparaveis mensalao iniciativa']",325.0
16,288,16_Acknowledgments to Brazilian Journalists,['Acknowledgments to Brazilian Journalists'],"['agradecimento jornalistas globo folha estadao uol cnn especial vera magalhaes monica bergamo', 'agradecimento jornalistas globo folha estadao uol cnn especial vera magalhaes monica bergamo', 'agradecimento jornalistas globo folha estadao uol cnn especial vera magalhaes monica bergamo']",288.0
17,270,17_Não é um tópico significativo (significa que o texto não se relaciona a,['Não é um tópico significativo (significa que o texto não se relaciona a'],"['amanda klein mais vitima presidente chiliquento basta confrontado pergunta incomoda', 'amanda klein mais vitima presidente chiliquento basta confrontado pergunta incomoda', 'amanda klein mais vitima presidente chiliquento basta confrontado pergunta incomoda']",270.0
18,264,18_Unintelligible text / Spam,['Unintelligible text / Spam'],"['amanda klein ninja xadrez verbal ma garry kasparov negro', 'amanda klein ninja xadrez verbal ma garry kasparov negro', 'amanda klein ninja xadrez verbal ma garry kasparov negro']",264.0
19,231,19_Miss Venezuela pageant,['Miss Venezuela pageant'],"['dudasc galera panico chamou amanda klein miss venezuela cara', 'dudasc galera panico chamou amanda klein miss venezuela cara', 'dudasc galera panico chamou amanda klein miss venezuela cara']",231.0
20,230,20_Unknown content or language,['Unknown content or language'],"['amanda klein recebe salario jp moeda corrente dinheiro vivo proposito dinheiro jogado forum jp', 'amanda klein recebe salario jp moeda corrente dinheiro vivo proposito dinheiro jogado forum jp', 'amanda klein recebe salario jp moeda corrente dinheiro vivo proposito dinheiro jogado forum jp']",230.0
21,220,21_Political commentary and analysis,['Political commentary and analysis'],"['voadora semana amanda klein pergunta ex ministro lula aldo rebelo ministro q senhor acha aprop', 'voadora semana amanda klein pergunta ex ministro lula aldo rebelo ministro q senhor acha aprop', 'voadora semana amanda klein pergunta ex ministro lula aldo rebelo ministro q senhor acha aprop']",220.0
